Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,45.800,45.950,45.300,45.450,6330,,,,,,,
2022-09-30,45.580,45.590,45.250,45.250,2707,,,0.340,,,,
2022-10-03,45.400,45.720,45.300,45.590,19059,,,0.470,,,,
2022-10-04,45.950,46.230,45.810,46.030,9242,,,0.640,,,,
2022-10-05,45.950,46.190,45.900,45.960,12110,,,0.290,,,,
2022-10-06,46.180,46.180,45.510,45.510,8869,,,0.670,,,,
2022-10-07,45.420,45.420,44.610,44.730,10690,,,0.900,,,,
2022-10-11,44.960,45.480,44.960,45.350,14288,,,0.750,,,,
2022-10-12,45.480,45.480,45.020,45.020,8005,,,0.460,,,#DIV/0!,
2022-10-13,44.910,45.830,44.850,45.800,13899,,,0.980,,,#DIV/0!,
2022-10-14,45.990,46.000,45.330,45.340,11752,,,0.670,,,#DIV/0!,
2022-10-17,45.670,45.670,45.370,45.480,2150,,,0.330,,,#DIV/0!,
2022-10-18,46.000,46.310,46.000,46.250,8674,,,0.830,,,#DIV/0!,
2022-10-19,46.050,46.290,45.870,46.050,78833,,,0.420,0.596,0.013,#DIV/0!,
2022-10-20,45.980,45.980,45.490,45.520,9433,,,0.560,0.594,0.013,#DIV/0!,
2022-10-21,45.430,45.860,45.430,45.800,7383,,,0.430,0.600,0.013,#DIV/0!,
2022-10-24,46.380,46.730,46.380,46.600,5605,,,0.930,0.633,0.014,#DIV/0!,
2022-10-25,46.560,46.830,46.560,46.790,6602,,,0.270,0.606,0.013,#DIV/0!,
2022-10-26,46.790,47.050,46.760,46.830,12589,,,0.290,0.606,0.013,#DIV/0!,
2022-10-27,47.090,47.220,47.030,47.090,13640,45.822,,0.390,0.586,0.012,#DIV/0!,
2022-10-28,47.410,48.340,47.390,48.320,12454,45.966,,1.250,0.611,0.013,#DIV/0!,
2022-10-31,48.380,48.440,48.130,48.180,11888,46.112,,0.310,0.580,0.012,#DIV/0!,
2022-11-01,48.150,49.500,48.050,48.090,6255,46.237,,1.450,0.651,0.014,#DIV/0!,
2022-11-02,48.090,48.290,47.690,47.690,8375,46.320,,0.600,0.624,0.013,#DIV/0!,
2022-11-03,47.650,47.920,47.500,47.720,16111,46.408,,0.420,0.606,0.013,#DIV/0!,
2022-11-04,47.510,47.510,46.680,47.100,16054,46.488,,1.040,0.656,0.014,0.000,0.854
2022-11-07,47.180,47.290,46.990,47.220,10000,46.612,,0.300,0.619,0.013,0.037,0.928
2022-11-08,47.360,47.510,47.150,47.300,12896,46.710,,0.360,0.614,0.013,0.055,0.974
2022-11-09,47.270,47.580,47.250,47.250,6713,46.821,,0.330,0.598,0.013,0.034,0.964
2022-11-10,47.820,47.820,47.430,47.740,17592,46.918,,0.570,0.608,0.013,0.038,0.978
2022-11-11,47.740,47.740,46.600,46.960,17272,46.999,,1.140,0.623,0.013,0.009,0.950
2022-11-14,46.950,47.290,46.880,46.880,8638,47.069,,0.410,0.633,0.013,-0.053,0.880
2022-11-15,47.260,47.270,46.790,47.040,10202,47.109,,0.480,0.646,0.014,-0.217,0.684
2022-11-16,47.000,47.440,47.000,47.330,10256,47.173,,0.440,0.650,0.014,-0.324,0.537
2022-11-17,47.240,47.280,47.050,47.280,11643,47.261,,0.280,0.581,0.012,-0.426,0.383
2022-11-18,47.650,48.040,47.650,48.040,4474,47.373,,0.760,0.613,0.013,-0.416,0.326
2022-11-21,48.110,48.660,48.110,48.660,35805,47.476,,0.620,0.554,0.011,-0.388,0.277
2022-11-22,48.700,48.700,48.470,48.600,21108,47.566,,0.230,0.527,0.011,-0.307,0.282
2022-11-23,48.630,48.830,48.630,48.740,20773,47.662,,0.230,0.514,0.011,-0.202,0.312
2022-11-24,48.900,48.960,48.860,48.960,3780,47.755,,0.220,0.455,0.009,-0.108,0.339
2022-11-25,49.150,49.800,48.960,49.650,20698,47.822,,0.840,0.494,0.010,-0.011,0.380
2022-11-28,49.490,49.490,49.020,49.080,60098,47.867,,0.630,0.513,0.010,0.010,0.366
2022-11-29,49.220,49.450,49.050,49.450,70914,47.935,,0.400,0.518,0.010,0.116,0.463
2022-11-30,49.210,49.830,49.000,49.830,16314,48.042,,0.830,0.536,0.011,0.222,0.592
2022-12-01,49.830,49.850,49.600,49.660,11027,48.139,,0.250,0.473,0.010,0.289,0.702
2022-12-02,49.280,49.960,49.280,49.880,7544,48.278,,0.680,0.492,0.010,0.336,0.807
2022-12-05,49.460,49.930,49.430,49.930,3650,48.413,,0.500,0.494,0.010,0.418,0.966
2022-12-06,49.930,50.120,49.730,49.910,11386,48.544,,0.390,0.490,0.010,0.425,1.055
2022-12-07,49.820,50.090,49.750,49.920,24105,48.677,,0.340,0.494,0.010,0.376,1.090
2022-12-08,49.890,49.980,49.680,49.980,9856,48.789,47.377,0.300,0.461,0.009,0.321,1.117
2022-12-09,50.190,50.190,49.750,49.770,8186,48.930,47.463,0.440,0.449,0.009,0.244,1.124
2022-12-12,49.910,50.200,49.820,50.200,6534,49.096,47.562,0.430,0.463,0.009,0.157,1.108
2022-12-13,50.760,50.760,49.710,49.960,10800,49.242,47.649,1.050,0.521,0.010,0.029,1.028
2022-12-14,49.980,50.460,49.770,49.910,16197,49.371,47.727,0.690,0.555,0.011,-0.035,0.997
2022-12-15,49.640,49.780,49.450,49.600,11086,49.487,47.800,0.460,0.528,0.011,-0.126,0.919
2022-12-16,49.520,49.520,48.990,49.300,10302,49.550,47.876,0.610,0.526,0.011,-0.213,0.815
2022-12-19,49.120,49.300,48.770,48.950,12741,49.564,47.960,0.530,0.536,0.011,-0.307,0.679
2022-12-20,48.760,48.860,48.570,48.730,30009,49.571,48.028,0.380,0.504,0.010,-0.410,0.512
2022-12-21,49.130,49.330,49.030,49.250,1918,49.596,48.112,0.600,0.529,0.011,-0.469,0.371
2022-12-22,49.150,49.350,48.870,49.140,6369,49.605,48.179,0.480,0.514,0.010,-0.504,0.237
2022-12-23,49.240,49.460,49.240,49.440,6153,49.595,48.261,0.320,0.501,0.010,-0.516,0.114
2022-12-28,49.140,49.220,48.920,48.920,11146,49.587,48.330,0.520,0.511,0.010,-0.523,-0.008
2022-12-29,49.000,49.150,48.880,49.030,18508,49.566,48.385,0.270,0.506,0.010,-0.479,-0.084
2022-12-30,48.790,48.860,48.410,48.680,5429,49.508,48.438,0.620,0.529,0.011,-0.483,-0.214
2023-01-03,49.390,49.390,48.700,49.180,13000,49.484,48.511,0.710,0.548,0.011,-0.442,-0.296
2023-01-04,49.000,49.120,48.600,48.860,19129,49.433,48.572,0.580,0.559,0.011,-0.408,-0.380
2023-01-05,48.760,48.810,48.600,48.800,13267,49.377,48.616,0.260,0.502,0.010,-0.339,-0.414
2023-01-06,49.210,49.320,49.160,49.260,7449,49.344,48.666,0.520,0.490,0.010,-0.261,-0.424
2023-01-09,49.300,49.300,48.500,48.560,17960,49.276,48.700,0.800,0.514,0.011,-0.186,-0.422
2023-01-10,48.550,48.790,48.540,48.790,12818,49.217,48.734,0.250,0.489,0.010,-0.086,-0.377
2023-01-11,48.930,49.060,48.760,49.060,11083,49.181,48.749,0.300,0.472,0.010,-0.039,-0.370
2023-01-12,48.970,48.970,48.470,48.540,8713,49.098,48.756,0.590,0.487,0.010,-0.006,-0.368
2023-01-13,48.370,48.670,48.370,48.670,6536,49.034,48.768,0.300,0.466,0.010,-0.002,-0.384
2023-01-16,48.500,48.800,48.500,48.800,12219,48.978,48.790,0.300,0.453,0.009,0.036,-0.351
2023-01-17,48.800,48.800,48.430,48.470,12536,48.922,48.805,0.370,0.456,0.009,0.041,-0.342
2023-01-18,48.580,48.580,47.880,47.880,17872,48.851,48.821,0.700,0.469,0.010,0.046,-0.328
2023-01-19,47.760,47.760,47.580,47.600,6377,48.783,48.828,0.300,0.471,0.010,-0.008,-0.376
2023-01-20,47.600,47.600,47.190,47.530,34338,48.723,48.833,0.410,0.456,0.010,-0.020,-0.384
2023-01-23,47.690,47.840,47.500,47.600,7508,48.641,48.840,0.340,0.430,0.009,-0.027,-0.394
2023-01-24,47.580,47.680,47.410,47.640,13643,48.566,48.838,0.270,0.408,0.009,-0.067,-0.441
2023-01-25,47.520,47.890,47.520,47.890,12147,48.488,48.857,0.370,0.416,0.009,-0.050,-0.431
2023-01-26,47.870,47.870,47.610,47.740,11581,48.429,48.874,0.280,0.399,0.008,-0.069,-0.459
2023-01-27,47.830,47.830,47.480,47.610,11441,48.358,48.885,0.350,0.366,0.008,-0.119,-0.528
2023-01-30,47.530,48.000,47.530,47.750,9358,48.312,48.894,0.470,0.382,0.008,-0.123,-0.556
2023-01-31,47.930,47.930,47.560,47.750,6820,48.240,48.903,0.370,0.387,0.008,-0.115,-0.575
2023-02-01,47.690,48.070,47.690,48.000,7434,48.197,48.902,0.380,0.372,0.008,-0.113,-0.598
2023-02-02,47.800,48.030,47.680,47.880,27804,48.151,48.887,0.350,0.376,0.008,-0.079,-0.587
2023-02-03,48.490,48.490,47.460,47.760,11322,48.076,48.870,1.030,0.428,0.009,-0.027,-0.553
2023-02-06,47.530,48.130,47.530,48.130,10204,48.055,48.858,0.600,0.444,0.009,0.055,-0.474
2023-02-07,48.000,48.080,47.670,48.020,16059,48.016,48.839,0.460,0.427,0.009,0.119,-0.408
2023-02-08,47.940,48.100,47.750,47.900,12514,47.958,48.804,0.350,0.431,0.009,0.179,-0.334
2023-02-09,47.900,47.900,47.510,47.550,9288,47.909,48.773,0.390,0.429,0.009,0.196,-0.291
2023-02-10,47.090,47.690,47.090,47.670,7589,47.859,48.738,0.600,0.448,0.009,0.188,-0.266
2023-02-13,47.800,47.980,47.800,47.980,9123,47.818,48.701,0.310,0.451,0.009,0.215,-0.196
2023-02-14,48.280,48.280,47.550,47.610,10684,47.775,48.660,0.730,0.476,0.010,0.203,-0.160
2023-02-15,47.880,47.890,47.750,47.880,5826,47.775,48.620,0.280,0.476,0.010,0.197,-0.114
2023-02-16,47.510,48.000,47.510,47.880,5865,47.789,48.579,0.490,0.486,0.010,0.198,-0.058
2023-02-17,47.590,48.310,47.590,48.310,5710,47.828,48.547,0.720,0.504,0.010,0.182,-0.023
2023-02-21,48.230,48.300,48.070,48.160,13096,47.856,48.511,0.240,0.495,0.010,0.178,0.020
