Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,23.130,23.150,23.100,23.150,2077,,,,,,,
2022-09-30,23.340,23.340,23.000,23.000,6567,,,0.340,,,,
2022-10-03,23.780,23.780,23.500,23.660,832,,,0.780,,,,
2022-10-04,24.210,24.570,24.010,24.060,2179,,,0.910,,,,
2022-10-05,24.230,24.520,24.120,24.520,1016,,,0.460,,,,
2022-10-06,24.500,24.500,24.250,24.250,393,,,0.270,,,,
2022-10-07,24.060,24.060,23.500,23.530,16424,,,0.750,,,,
2022-10-11,23.290,23.290,22.510,23.140,1179,,,1.020,,,,
2022-10-12,22.140,22.140,21.610,21.770,3250,,,1.530,,,#DIV/0!,
2022-10-13,22.990,23.060,22.990,23.000,6850,,,1.290,,,#DIV/0!,
2022-10-14,22.600,22.600,22.300,22.300,580,,,0.700,,,#DIV/0!,
2022-10-17,22.570,23.000,22.570,23.000,1814,,,0.700,,,#DIV/0!,
2022-10-18,23.250,23.470,23.200,23.290,7182,,,0.470,,,#DIV/0!,
2022-10-19,23.250,23.250,22.830,22.890,5025,,,0.460,0.745,0.033,#DIV/0!,
2022-10-20,23.000,23.000,22.950,23.000,2795,,,0.110,0.699,0.030,#DIV/0!,
2022-10-21,22.930,22.930,22.930,22.930,437,,,0.070,0.680,0.030,#DIV/0!,
2022-10-24,23.430,23.680,23.360,23.450,1360,,,0.750,0.678,0.029,#DIV/0!,
2022-10-25,23.450,23.940,23.450,23.930,2587,,,0.490,0.648,0.027,#DIV/0!,
2022-10-26,23.930,24.420,23.930,24.290,1844,,,0.490,0.650,0.027,#DIV/0!,
2022-10-27,24.320,24.320,23.970,23.970,2756,23.357,,0.350,0.656,0.027,#DIV/0!,
2022-10-28,23.970,24.060,23.580,24.040,4516,23.401,,0.480,0.636,0.026,#DIV/0!,
2022-10-31,24.280,24.300,23.300,23.440,51953,23.423,,1.000,0.635,0.027,#DIV/0!,
2022-11-01,23.700,23.700,23.410,23.450,4885,23.413,,0.290,0.546,0.023,#DIV/0!,
2022-11-02,23.140,23.140,23.130,23.130,2906,23.366,,0.320,0.477,0.021,#DIV/0!,
2022-11-03,22.580,23.000,22.580,23.000,3339,23.290,,0.550,0.466,0.020,#DIV/0!,
2022-11-04,23.270,23.270,22.580,22.660,1146,23.211,,0.690,0.466,0.021,0.000,0.100
2022-11-07,22.860,23.230,22.700,23.230,1898,23.196,,0.570,0.473,0.020,0.008,0.117
2022-11-08,23.730,24.000,23.540,23.870,6965,23.232,,0.770,0.495,0.021,0.035,0.161
2022-11-09,23.250,23.250,23.000,23.010,1670,23.294,,0.870,0.549,0.024,0.018,0.150
2022-11-10,23.320,23.400,23.290,23.390,5690,23.314,,0.390,0.572,0.024,-0.001,0.131
2022-11-11,23.750,23.970,23.750,23.800,12732,23.389,,0.580,0.560,0.024,-0.012,0.117
2022-11-14,23.650,24.030,23.650,23.850,3184,23.431,,0.380,0.552,0.023,-0.006,0.123
2022-11-15,24.000,24.110,23.900,23.950,2593,23.464,,0.260,0.536,0.022,-0.026,0.099
2022-11-16,24.100,24.200,23.110,23.110,6079,23.475,,1.090,0.589,0.025,-0.046,0.073
2022-11-17,22.690,22.690,22.450,22.480,4753,23.449,,0.660,0.601,0.027,-0.139,-0.035
2022-11-18,22.390,22.390,22.280,22.310,842,23.418,,0.200,0.544,0.024,-0.160,-0.077
2022-11-21,22.300,22.300,22.000,22.070,7725,23.349,,0.310,0.546,0.025,-0.194,-0.146
2022-11-22,22.170,22.520,22.170,22.520,1963,23.279,,0.450,0.555,0.025,-0.155,-0.139
2022-11-23,22.750,22.820,22.750,22.820,2032,23.205,,0.300,0.537,0.024,-0.140,-0.155
2022-11-24,23.070,23.080,22.960,22.960,889,23.155,,0.260,0.506,0.022,-0.179,-0.234
2022-11-25,22.900,22.900,22.900,22.900,248,23.098,,0.060,0.470,0.021,-0.144,-0.239
2022-11-28,22.580,22.580,22.290,22.290,3471,23.040,,0.610,0.459,0.021,-0.166,-0.306
2022-11-29,22.340,22.640,22.340,22.640,400,23.000,,0.350,0.421,0.019,-0.182,-0.372
2022-11-30,23.250,23.300,23.250,23.300,6267,23.008,,0.660,0.441,0.019,-0.164,-0.393
2022-12-01,23.420,23.500,23.240,23.240,1472,23.020,,0.260,0.418,0.018,-0.146,-0.412
2022-12-02,22.900,23.070,22.900,23.070,235,23.041,,0.340,0.415,0.018,-0.088,-0.381
2022-12-05,22.810,22.810,22.350,22.350,1570,22.997,,0.720,0.448,0.020,-0.013,-0.326
2022-12-06,22.410,22.410,21.800,21.800,19527,22.893,,0.610,0.414,0.019,0.024,-0.306
2022-12-07,21.650,21.650,21.540,21.580,9016,22.822,,0.260,0.385,0.018,0.060,-0.275
2022-12-08,21.960,22.140,21.960,22.010,6589,22.753,23.108,0.560,0.411,0.019,0.064,-0.274
2022-12-09,22.030,22.280,21.960,21.960,1434,22.661,23.084,0.320,0.411,0.019,0.032,-0.306
