Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2022-09-29,55.520,55.590,55.270,55.590,1800,,,,,,,
2022-10-03,56.510,56.510,56.510,56.510,170,,,0.920,,,,
2022-10-04,57.820,57.820,57.820,57.820,235,,,1.310,,,,
2022-10-05,57.100,57.100,57.100,57.100,107,,,0.720,,,,
2022-10-06,56.600,56.600,55.850,55.850,335,,,1.250,,,,
2022-10-07,54.500,54.500,54.500,54.500,100,,,1.350,,,,
2022-10-11,53.850,53.850,53.850,53.850,1540,,,0.650,,,,
2022-10-12,53.680,53.680,53.680,53.680,1002,,,0.170,,,,
2022-10-17,55.850,55.850,55.750,55.750,241,,,2.170,,,#DIV/0!,
2022-10-18,56.230,56.230,56.230,56.230,100,,,0.480,,,#DIV/0!,
2022-10-20,54.840,54.840,54.840,54.840,101,,,1.390,,,#DIV/0!,
2022-10-21,54.990,55.040,54.890,55.000,600,,,0.200,,,#DIV/0!,
2022-10-24,55.000,55.780,55.000,55.780,568,,,0.780,,,#DIV/0!,
2022-10-25,56.250,56.250,56.250,56.250,101,,,0.470,0.912,0.016,#DIV/0!,
2022-10-26,57.000,57.000,56.510,56.510,1300,,,0.750,0.901,0.016,#DIV/0!,
2022-10-27,57.240,57.240,56.770,56.870,1852,,,0.730,0.887,0.016,#DIV/0!,
2022-10-31,57.240,57.240,57.160,57.160,300,,,0.370,0.820,0.014,#DIV/0!,
2022-11-08,58.210,58.210,58.210,58.210,100,,,1.050,0.844,0.014,#DIV/0!,
2022-11-10,58.890,59.460,58.890,59.460,200,,,1.250,0.844,0.014,#DIV/0!,
2022-11-15,59.560,59.560,59.560,59.560,100,56.326,,0.100,0.754,0.013,#DIV/0!,
2022-11-16,59.310,59.310,59.310,59.310,100,56.512,,0.250,0.726,0.012,#DIV/0!,
2022-11-17,59.310,59.310,59.280,59.280,617,56.651,,0.030,0.716,0.012,#DIV/0!,
2022-11-22,60.000,60.000,60.000,60.000,100,56.760,,0.720,0.612,0.010,#DIV/0!,
2022-11-23,60.000,60.000,60.000,60.000,100,56.905,,0.000,0.578,0.010,#DIV/0!,
2022-11-24,60.750,60.750,60.750,60.750,200,57.150,,0.750,0.532,0.009,#DIV/0!,
2022-11-25,61.030,61.030,61.030,61.030,100,57.476,,0.280,0.538,0.009,0.000,1.824
2022-11-28,60.110,60.740,60.110,60.740,649,57.821,,0.920,0.548,0.009,0.077,1.978
2022-11-30,59.820,59.820,59.820,59.820,110,58.128,,0.920,0.580,0.010,0.130,2.097
2022-12-05,59.880,59.880,59.880,59.880,250,58.334,,0.060,0.531,0.009,0.208,2.244
2022-12-07,59.660,59.660,59.660,59.660,1000,58.506,,0.220,0.494,0.008,0.185,2.266
2022-12-08,58.300,58.300,58.300,58.300,110,58.679,,1.360,0.565,0.010,-0.005,2.075
2022-12-09,58.300,59.450,58.300,59.370,1000,58.897,,1.150,0.572,0.010,-0.179,1.872
2022-12-14,57.960,57.960,57.960,57.960,200,59.006,,1.410,0.584,0.010,-0.393,1.602
2022-12-15,57.270,57.270,57.130,57.130,350,59.050,,0.830,0.636,0.011,-0.627,1.290
2022-12-19,56.420,56.840,56.420,56.840,500,59.067,,0.710,0.669,0.012,-0.839,0.985
2022-12-21,57.670,57.680,57.670,57.680,2218,59.107,,0.840,0.726,0.013,-0.950,0.736
2022-12-28,57.460,57.460,57.460,57.460,100,59.122,,0.220,0.691,0.012,-1.132,0.361
2022-12-30,57.640,57.640,57.640,57.640,690,59.094,,0.180,0.704,0.012,-1.264,-0.023
2023-01-03,57.680,57.680,57.650,57.650,531,59.003,,0.040,0.653,0.011,-1.302,-0.353
2023-01-04,58.330,58.330,58.330,58.330,163,58.942,,0.680,0.681,0.012,-1.214,-0.557
2023-01-05,58.330,58.330,58.330,58.330,171,58.893,,0.000,0.616,0.011,-1.121,-0.756
2023-01-09,59.030,59.090,58.750,58.750,401,58.866,,0.760,0.604,0.010,-0.991,-0.904
2023-01-10,58.960,58.960,58.960,58.960,150,58.814,,0.210,0.615,0.010,-0.759,-0.919
2023-01-11,59.340,59.340,59.340,59.340,135,58.781,,0.380,0.626,0.011,-0.589,-0.965
2023-01-12,60.090,60.090,60.090,60.090,160,58.748,,0.750,0.583,0.010,-0.264,-0.811
2023-01-13,60.200,60.200,60.200,60.200,506,58.707,,0.110,0.509,0.008,0.072,-0.580
