Date,Open,High,Low,Close,Volume,MA20,MA50,TR,ATR(14),ATR%,MACD Hist (approx),MACD Line (SMA12–26)
2020-10-01,62.470,62.470,61.690,62.010,32795,,,,,,,
2020-10-02,61.220,61.900,61.210,61.670,32841,,,0.800,,,,
2020-10-05,61.890,62.560,61.880,62.560,21982,,,0.890,,,,
2020-10-06,62.850,63.010,61.900,61.970,44376,,,1.110,,,,
2020-10-07,62.560,62.980,62.410,62.910,25507,,,1.010,,,,
2020-10-08,63.000,63.250,62.960,63.120,21710,,,0.340,,,,
2020-10-09,63.000,63.330,63.000,63.180,40382,,,0.330,,,,
2020-10-13,63.800,64.170,63.800,63.960,32808,,,0.990,,,,
2020-10-14,63.960,64.200,63.490,63.600,36331,,,0.710,,,#DIV/0!,
2020-10-15,63.150,63.900,63.150,63.870,24514,,,0.750,,,#DIV/0!,
2020-10-16,64.040,64.290,63.730,63.750,22285,,,0.560,,,#DIV/0!,
2020-10-19,63.820,63.860,62.650,62.720,42272,,,1.210,,,#DIV/0!,
2020-10-20,62.900,63.170,62.560,62.730,46616,,,0.610,,,#DIV/0!,
2020-10-21,62.890,62.940,62.480,62.540,35863,,,0.460,0.752,0.012,#DIV/0!,
2020-10-22,62.460,63.020,62.250,62.940,30167,,,0.770,0.753,0.012,#DIV/0!,
2020-10-23,63.010,63.150,62.770,63.150,37186,,,0.380,0.723,0.011,#DIV/0!,
2020-10-26,62.850,62.850,61.700,62.260,59801,,,1.450,0.763,0.012,#DIV/0!,
2020-10-27,62.400,62.400,61.890,61.960,53730,,,0.510,0.720,0.012,#DIV/0!,
2020-10-28,60.810,61.430,60.500,60.510,69590,,,1.460,0.752,0.012,#DIV/0!,
2020-10-29,61.010,61.660,60.620,61.240,41096,62.633,,1.150,0.810,0.013,#DIV/0!,
2020-10-30,60.460,60.940,59.800,60.430,94676,62.554,,1.440,0.889,0.015,#DIV/0!,
2020-11-02,60.650,61.100,60.260,60.650,45081,62.503,,0.840,0.879,0.014,#DIV/0!,
2020-11-03,61.530,61.760,60.850,61.530,33687,62.451,,1.110,0.907,0.015,#DIV/0!,
2020-11-04,62.040,63.380,62.040,62.740,25497,62.490,,1.850,0.986,0.016,#DIV/0!,
2020-11-05,63.600,63.800,63.390,63.670,44110,62.528,,1.060,1.021,0.016,#DIV/0!,
2020-11-06,64.000,64.000,63.260,63.530,37855,62.548,,0.740,0.988,0.016,0.000,-0.457
2020-11-09,65.970,66.000,64.090,64.090,73186,62.594,,2.470,1.121,0.017,0.008,-0.441
2020-11-10,64.350,64.350,63.470,64.140,45335,62.603,,0.880,1.151,0.018,-0.003,-0.454
2020-11-11,65.000,65.000,64.480,64.820,21384,62.664,,0.860,1.157,0.018,0.093,-0.327
2020-11-12,65.000,65.040,64.270,64.520,32949,62.696,,0.770,1.185,0.018,0.166,-0.212
2020-11-13,64.990,65.600,64.980,65.470,23542,62.782,,1.080,1.159,0.018,0.401,0.103
2020-11-16,66.000,66.040,65.550,66.040,39059,62.948,,0.570,1.163,0.018,0.590,0.391
2020-11-17,66.000,66.010,65.380,65.850,36070,63.104,,0.660,1.106,0.017,0.822,0.740
2020-11-18,65.910,65.950,65.130,65.130,40654,63.234,,0.820,1.082,0.017,1.022,1.068
2020-11-19,65.200,65.430,65.000,65.390,24179,63.356,,0.430,1.010,0.015,1.078,1.321
2020-11-20,65.470,65.470,65.130,65.150,31632,63.456,,0.340,0.974,0.015,1.017,1.472
2020-11-23,65.690,65.770,65.290,65.670,45634,63.627,,0.620,0.939,0.014,0.885,1.565
2020-11-24,66.050,66.400,66.000,66.280,46467,63.843,,0.730,0.859,0.013,0.757,1.658
2020-11-25,66.450,66.450,66.010,66.220,23466,64.128,,0.440,0.815,0.012,0.588,1.701
2020-11-26,66.400,66.550,66.210,66.400,18954,64.386,,0.340,0.786,0.012,0.446,1.741
2020-11-27,66.710,66.720,66.280,66.680,38932,64.699,,0.440,0.641,0.010,0.305,1.752
2020-11-30,66.370,66.370,65.320,66.030,63025,64.968,,1.360,0.676,0.010,0.206,1.767
2020-12-01,66.740,66.860,66.400,66.450,34385,65.214,,0.830,0.674,0.010,0.058,1.687
2020-12-02,66.340,66.470,66.120,66.470,36670,65.400,,0.350,0.644,0.010,-0.105,1.550
2020-12-03,66.560,66.580,66.180,66.250,41687,65.529,,0.400,0.595,0.009,-0.280,1.362
2020-12-04,66.260,66.490,66.240,66.490,30412,65.677,,0.250,0.572,0.009,-0.336,1.274
2020-12-07,66.450,66.650,66.330,66.530,33405,65.799,,0.320,0.548,0.008,-0.418,1.134
2020-12-08,66.390,67.000,66.330,66.920,47024,65.938,,0.670,0.537,0.008,-0.438,1.040
2020-12-09,67.040,67.040,66.090,66.280,63355,66.011,,0.950,0.574,0.009,-0.478,0.909
2020-12-10,66.000,66.020,65.480,66.000,43246,66.085,64.089,0.800,0.607,0.009,-0.516,0.760
2020-12-11,65.800,66.030,65.470,65.970,49126,66.110,64.169,0.560,0.603,0.009,-0.501,0.651
2020-12-14,66.420,66.570,65.800,65.800,66867,66.098,64.251,0.770,0.606,0.009,-0.508,0.513
2020-12-15,65.640,66.330,65.640,66.330,36816,66.122,64.327,0.690,0.624,0.009,-0.495,0.398
2020-12-16,66.710,66.800,66.520,66.790,40258,66.205,64.423,0.470,0.633,0.009,-0.423,0.359
2020-12-17,66.800,67.100,66.700,67.100,70144,66.291,64.507,0.400,0.630,0.009,-0.351,0.326
2020-12-18,67.250,67.410,66.800,67.170,44676,66.392,64.588,0.610,0.576,0.009,-0.300,0.282
2020-12-21,66.870,67.440,66.440,67.430,77135,66.480,64.673,1.000,0.589,0.009,-0.195,0.305
2020-12-22,67.540,67.860,67.540,67.720,47289,66.552,64.748,0.430,0.594,0.009,-0.094,0.343
2020-12-23,67.850,67.850,67.500,67.500,46151,66.616,64.826,0.350,0.591,0.009,-0.033,0.360
2020-12-24,67.540,67.540,67.280,67.440,25692,66.668,64.897,0.260,0.591,0.009,-0.041,0.315
2020-12-29,67.710,68.000,67.370,67.530,75562,66.710,64.973,0.630,0.614,0.009,0.001,0.337
2020-12-30,67.590,67.590,67.220,67.220,34856,66.770,65.063,0.370,0.592,0.009,0.027,0.359
2020-12-31,67.120,67.410,66.870,67.370,55416,66.816,65.156,0.540,0.563,0.008,0.073,0.410
2021-01-04,67.600,67.600,66.020,66.660,135921,66.825,65.238,1.580,0.619,0.009,0.114,0.467
2021-01-05,66.290,66.900,66.290,66.660,79989,66.846,65.313,0.610,0.622,0.009,0.103,0.478
2021-01-06,66.680,67.850,66.600,67.220,80647,66.882,65.394,1.250,0.656,0.010,0.087,0.482
2021-01-07,67.270,68.600,67.270,68.360,72664,66.974,65.516,1.380,0.706,0.010,0.108,0.522
2021-01-08,68.590,68.860,68.250,68.820,129936,67.069,65.653,0.610,0.716,0.010,0.117,0.553
2021-01-11,68.410,69.200,68.410,68.840,106424,67.197,65.820,0.790,0.744,0.011,0.113,0.578
2021-01-12,68.700,69.020,68.490,68.750,52679,67.334,65.970,0.530,0.738,0.011,0.085,0.576
2021-01-13,68.760,68.910,68.640,68.750,68968,67.473,66.136,0.270,0.686,0.010,0.068,0.584
2021-01-14,68.980,68.980,68.240,68.280,69608,67.597,66.289,0.740,0.708,0.010,0.049,0.586
2021-01-15,68.570,68.570,68.000,68.290,69105,67.695,66.424,0.570,0.724,0.011,0.032,0.581
2021-01-18,68.530,68.700,68.290,68.510,34408,67.781,66.540,0.410,0.734,0.011,0.062,0.627
2021-01-19,68.900,68.950,68.500,68.840,75157,67.868,66.643,0.450,0.721,0.010,0.067,0.652
2021-01-20,68.950,69.370,68.880,69.210,53060,67.970,66.757,0.530,0.733,0.011,0.132,0.741
2021-01-21,69.290,69.290,68.990,69.100,34896,68.054,66.857,0.300,0.716,0.010,0.185,0.824
2021-01-22,69.080,69.610,69.070,69.560,33044,68.146,66.965,0.540,0.641,0.009,0.202,0.874
2021-01-25,69.920,69.920,68.900,69.810,70433,68.261,67.065,1.020,0.671,0.010,0.158,0.861
2021-01-26,69.980,69.980,69.270,69.310,55414,68.355,67.161,0.710,0.632,0.009,0.077,0.805
2021-01-27,68.860,69.160,67.820,68.090,153413,68.383,67.213,1.490,0.640,0.009,-0.037,0.704
2021-01-28,68.760,69.450,68.650,68.780,76597,68.461,67.268,1.360,0.694,0.010,-0.103,0.645
2021-01-29,68.490,68.490,67.140,67.460,157515,68.465,67.300,1.640,0.754,0.011,-0.202,0.536
2021-02-01,68.480,69.080,67.800,69.020,86301,68.583,67.378,1.620,0.832,0.012,-0.178,0.548
2021-02-02,69.330,70.000,69.330,69.650,64992,68.733,67.463,0.980,0.883,0.013,-0.130,0.578
2021-02-03,68.540,69.880,68.540,69.680,52040,68.856,67.554,1.340,0.926,0.013,-0.093,0.590
2021-02-04,70.000,70.720,70.000,70.720,45513,68.974,67.655,1.040,0.959,0.014,-0.031,0.624
2021-02-05,71.110,71.110,70.620,70.830,42443,69.074,67.746,0.490,0.965,0.014,-0.008,0.620
2021-02-08,71.110,71.310,71.020,71.310,48723,69.198,67.848,0.480,0.967,0.014,0.042,0.653
2021-02-09,71.050,71.320,71.050,71.120,62327,69.316,67.942,0.270,0.949,0.013,0.011,0.611
2021-02-10,71.580,71.580,70.650,71.100,91918,69.434,68.030,0.930,0.994,0.014,-0.042,0.548
2021-02-11,71.180,71.280,70.750,71.280,47854,69.584,68.135,0.530,0.993,0.014,-0.036,0.556
2021-02-12,71.280,71.600,71.240,71.600,59817,69.749,68.238,0.360,0.946,0.013,0.112,0.724
2021-02-16,71.900,71.900,71.330,71.420,96638,69.895,68.337,0.570,0.936,0.013,0.203,0.844
2021-02-17,71.440,71.440,70.950,71.350,62024,70.020,68.439,0.490,0.864,0.012,0.377,1.071
